"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","12/178","48/8502",0.25,11.9410112359551,11.1154214623944,1.76946826671573e-10,3.76414158555891e-09,2.99708979147066e-09,"7852/942/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569",12
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","10/178","30/8502",0.333333333333333,15.9213483146067,11.9716688614804,2.62842916184466e-10,5.12543686559709e-09,4.08098211970618e-09,"2205/3122/3123/3117/3118/3120/3109/3108/3111/3113",10
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","11/178","42/8502",0.261904761904762,12.5096308186196,10.9340191612889,6.05947346707549e-10,1.01615648521334e-08,8.09085460561226e-09,"942/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113",11
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","19/178","158/8502",0.120253164556962,5.74377755653534,8.8012566465672,6.07956871495159e-10,1.01615648521334e-08,8.09085460561226e-09,"6402/5788/942/5010/1462/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113/120425/6404/6693/3684",19
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","12/178","64/8502",0.1875,8.95575842696629,9.34180478093271,6.23327696408642e-09,9.72391206397482e-08,7.74238612381261e-08,"6097/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569/64127",12
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","11/178","52/8502",0.211538461538462,10.1039325842697,9.62900304126653,7.12950929890144e-09,1.04269073496434e-07,8.30212595990497e-08,"942/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113",11
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","12/178","68/8502",0.176470588235294,8.42894910773298,8.99381633939071,1.28502492252947e-08,1.70760863836215e-07,1.35963440841251e-07,"942/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113/595",12
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","14/178","98/8502",0.142857142857143,6.82343499197432,8.47867954374744,1.31354510643242e-08,1.70760863836215e-07,1.35963440841251e-07,"58985/1435/7852/1524/1230/729230/1234/4283/3627/1436/3569/8794/3587/8740",14
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","12/178","71/8502",0.169014084507042,8.072796328533,8.75104173988625,2.13916601534245e-08,2.63455182942176e-07,2.09768634191476e-07,"972/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113/567",12
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","14/178","110/8502",0.127272727272727,6.07906026557712,7.84017839010324,5.94300831137775e-08,6.95331972431196e-07,5.53638142691506e-07,"1234/3122/3123/3117/3118/3120/3109/3108/3111/3113/5294/240/330/3587",14
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","18/178","194/8502",0.0927835051546392,4.43171551025136,7.07038189445225,1.08121118828607e-07,1.20477818123305e-06,9.59270076825236e-07,"2209/2212/2214/2215/4688/834/64581/6404/5330/3684/5336/718/27180/2357/2359/51284/51311/1536",18
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","12/178","83/8502",0.144578313253012,6.90564505211859,7.90596897714553,1.30073708677921e-07,1.38351126502879e-06,1.10158116918622e-06,"2213/3635/27071/29760/5336/7409/11027/11024/10859/11006/4773/695",12
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","12/178","91/8502",0.131868131868132,6.29855537720706,7.43076164606783,3.66323210117736e-07,3.72694048554566e-06,2.96746948241827e-06,"1435/942/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569",12
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","21/178","296/8502",0.0709459459459459,3.388665350744,6.11666059183099,8.70855696985838e-07,8.49084304561192e-06,6.76059027923216e-06,"58985/1441/1435/7852/1524/1230/729230/1234/4283/3627/3575/1436/653/3569/8794/4982/944/3587/8740/1438/60401",21
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","17/178","202/8502",0.0841584158415842,4.01974635665814,6.35164296766795,9.99093268527342e-07,9.18465295646508e-06,7.31301652404102e-06,"3627/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569/29760/595/567/5336/695",17
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","16/178","180/8502",0.0888888888888889,4.24569288389513,6.43589268154114,1.02051699516279e-06,9.18465295646508e-06,7.31301652404102e-06,"972/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569/330/567/8740/718",16
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","12/178","107/8502",0.11214953271028,5.35671532080227,6.63162095216893,2.15127199217732e-06,1.86443572655368e-05,1.48450347998201e-05,"6097/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569/4773",12
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","10/178","76/8502",0.131578947368421,6.28474275576582,6.76704234837992,3.63092790536813e-06,3.03441832091479e-05,2.41606856860962e-05,"717/720/721/3569/710/834/716/715/3684/718",10
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","17/178","234/8502",0.0726495726495727,3.47003745318352,5.60260760847589,7.48213538179028e-06,6.03730923909974e-05,4.80703434692152e-05,"2212/3627/730/717/629/720/721/3569/834/716/715/719/5336/718/51284/51311/1536",17
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","10/178","91/8502",0.10989010989011,5.24879614767255,5.95856591249366,1.86445055533837e-05,0.000145427143316393,0.000115792192384172,"3122/3123/3117/3118/3120/3109/3108/3111/3113/4773",10
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","10/178","98/8502",0.102040816326531,4.87388213712451,5.6402115377252,3.5808534457158e-05,0.000270296679450805,0.00021521597958971,"2209/2212/2214/2215/2213/5788/3635/5336/7409/3055",10
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","13/178","171/8502",0.0760233918128655,3.63118470333136,5.08252820158001,5.78590181021553e-05,0.000423094069872011,0.000336876519871102,"3627/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569/834/51284",13
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","15/178","222/8502",0.0675675675675676,3.22730033404191,4.91721360436157,6.11413857360343e-05,0.000433548007946425,0.000345200168270433,"3106/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569/1029/595/567/4773",15
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","13/178","191/8502",0.0680628272251309,3.25095593858462,4.60082812987738,0.000178086338529179,0.00122565303575964,0.00097589108110417,"7852/1524/1230/729230/1234/4283/3627/1794/5294/5330/5336/7409/3055",13
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","7/178","69/8502",0.101449275362319,4.84562774792379,4.6900741767912,0.00056618042305452,0.00378532054270736,0.00301395292874136,"2205/3635/240/241/5336/7409/695",7
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","12/178","211/8502",0.0568720379146919,2.71643857500399,3.69185818188075,0.0015550498914719,0.0101078242945674,0.00804806522779318,"23566/1435/2533/1436/26281/54518/2263/5330/3684/7409/2357/2846",12
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","11/178","195/8502",0.0564102564102564,2.69438202247191,3.50014074975325,0.00258558725666997,0.0163520923800209,0.0130198846210693,"1230/1234/942/3106/3569/5294/595/5336/718/3055/4773",11
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","8/178","127/8502",0.062992125984252,3.0087587366186,3.33515640034099,0.00509724347599814,0.0313882887732517,0.0249920247992153,"962/2214/2215/3106/5336/7409/7305/4773",8
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","9/178","157/8502",0.0573248407643312,2.73806627066485,3.21426708338314,0.005629882731946,0.033779296391676,0.0268957960473534,"64284/1524/84868/240/9023/63982/5031/834/4773",9
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","7/178","104/8502",0.0673076923076923,3.21488764044944,3.32322240860566,0.00605226191331231,0.035405732192877,0.0281907989120073,"5328/29760/330/5336/8740/60401/695",7
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","4/178","36/8502",0.111111111111111,5.30711610486891,3.78684623358861,0.00648678547319515,0.0370221414811626,0.0294778184532873,"3081/7306/7299/218",4
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","7/178","107/8502",0.0654205607476635,3.12475060380132,3.23421191993507,0.007052156518491,0.039290586317307,0.0312840026008247,"942/10333/4283/3627/3569/51284/51311",7
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","11/178","224/8502",0.0491071428571429,2.34555577849117,2.98429655284226,0.00733111642924979,0.0398949126614988,0.0317651801218412,"7852/1230/1234/3106/3569/1029/595/3587/5330/567/4773",11
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","4/178","38/8502",0.105263157894737,5.02779420461265,3.63873323186775,0.00787005694498205,0.0418543937528591,0.0333253607478905,"5788/3575/29760/695",4
