"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0021953","GO:0021953","central nervous system neuron differentiation",209,0.478792713344456,2.09918004568838,2.48523442157132e-10,1.2074415851265e-07,1.04198735505233e-07,8579,"tags=46%, list=25%, signal=35%","3952/4821/10716/5457/5458/58524/10215/6469/1996/51286/429/3226/26468/23017/6299/4858/1813/374946/431707/6092/2636/6695/5080/5629/8320/26128/7474/137970/2047/4137/9723/1630/4915/58158/2560/9760/2043/6324/55906/56978/85442/6422/3975/343472/652991/2895/57178/4781/3670/7846/339479/6900/161357/143941/170302/3400/2737/5048/166614/5727/25942/79625/2048/6096/89884/9201/1812/869/64283/340719/658/1141/9378/4967/22809/1620/1020/8321/1746/2629/2909/4133/6656/4808/91584/54149/7476/4009/200933/7289/6423/6091/51199/9331/3624/388585/57551"
"GO:0006836","GO:0006836","neurotransmitter transport",210,0.48439386117832,2.1230019638949,3.42681141925063e-10,1.3595881054595e-07,1.17328542549736e-07,8197,"tags=44%, list=24%, signal=34%","22987/3351/5582/57084/127833/8224/6853/10815/5864/112755/6623/9152/27445/22895/9066/6530/1813/388662/6581/6854/9900/6860/2914/3766/5030/9143/6861/2670/41/57586/57030/57512/8825/11255/9498/23208/23025/6812/5865/84961/9581/8867/6865/55315/10814/6532/8618/440279/6507/23396/488/7779/5028/81539/5799/246213/55879/22999/5413/477/7054/1812/6538/815/9378/9783/5579/9501/9379/91683/785/4763/134957/6844/1020/143425/6616/60482/22871/9885/9342/8573/6506/3060/51248/7476/28964/3382/200933/9751/2852/10211/6536"
"GO:0006813","GO:0006813","potassium ion transport",243,0.461211589207704,2.06005191747976,3.61856991733729e-10,1.3595881054595e-07,1.17328542549736e-07,7580,"tags=42%, list=22%, signal=33%","3747/3743/23439/57084/440699/3737/3773/479/25769/406895/93107/389816/3736/3788/610/10021/3746/338567/1813/859/51305/6000/3766/3763/1804/3748/3777/3779/2702/57628/482/857/3760/3785/9472/56660/3786/407033/57030/358/3739/3741/287/81033/478/3780/150160/406994/288/90134/4986/1262/9312/3765/126755/57463/53826/3759/6548/23327/84679/6507/407024/3782/84561/3767/57419/3757/30820/27133/3745/7531/53828/3761/30819/3756/23630/3752/9722/477/123041/3751/1812/348980/7248/7881/283518/481/3755/389015/284525/65266/6844/3781/9187/2645/6616/27012/6549/3772/3787/80333"
"GO:0050807","GO:0050807","regulation of synapse organization",314,0.426447849016133,1.94655655722073,3.65943600266172e-10,1.3595881054595e-07,1.17328542549736e-07,9110,"tags=46%, list=26%, signal=34%","4747/91752/2904/4131/11202/26280/1949/8128/1813/84189/1600/347731/6092/54413/114798/165257/5100/7474/2047/5021/26045/64084/387804/627/9113/57622/4915/41/339398/22865/26999/2894/57512/2043/5818/4139/79414/26050/8825/26115/139065/23316/23767/57502/2045/54674/144165/11122/26052/4897/5649/8506/2895/10486/80725/9844/5800/9758/158038/1605/57463/9912/7846/145581/4761/23327/347730/57555/9252/57633/5789/7779/577/23613/23768/83992/85461/10882/5048/57524/6792/2048/25945/9890/23096/9201/22941/8976/869/94030/56341/22839/1141/80823/9378/547/654429/11141/9379/4204/816/50807/23394/84687/4763/1020/22883/116987/57142/10152/10280/6616/57026/4038/22871/9419/8321/203068/55737/170506/8851/5063/55619/54862/51248/7476/1108/1946/7534/29904/27067/158866/65078/1000/1639/57496/89910/147381/55799/6572/1627/347902/55209"
"GO:0035195","GO:0035195","miRNA-mediated post-transcriptional gene silencing",444,-0.428098752647396,-1.80077837916706,3.3448928273687e-10,1.3595881054595e-07,1.17328542549736e-07,5485,"tags=32%, list=16%, signal=27%","406976/768220/100874323/406941/400931/406925/407030/100302122/442915/407017/407025/406890/693178/100302209/768213/106614088/693139/100500845/664613/574451/693233/100126345/100313892/100616258/693235/406912/407012/407056/574508/406958/574501/406907/406938/407002/100616134/406948/100126351/406997/406953/442897/7538/406908/406885/100422842/100126343/407008/407026/107075116/407011/406949/693143/406987/100126296/494327/407053/693135/100126335/406971/406922/574034/100126309/100500895/693131/574434/406913/100302135/693229/728264/100616354/406911/406947/406882/693130/693175/574449/494330/407010/406889/442910/407043/693193/693227/442898/724024/407013/55384/406937/100422913/100616403/574448/693159/693223/693132/407003/100616335/406935/3569/574412/100126314/100302146/406943/442901/100302214/442904/574502/406932/79727/407039/406920/407018/407006/114614/100500826/406914/100126331/693120/574445/407023/406993/693157/619556/724025/724031/100313843/693216/406992/283131/693201/724032/406946/724022/494336/406961/574447/406942/284454/442900/574506/100616438/100302263/693197/100302174"
"GO:0071805","GO:0071805","potassium ion transmembrane transport",215,0.482653390881408,2.12984384490768,4.90335963748788e-10,1.72053441502075e-07,1.48477170777265e-07,7580,"tags=44%, list=22%, signal=34%","3747/3743/57084/440699/3737/3773/479/25769/406895/93107/389816/3736/3788/610/10021/3746/338567/859/51305/6000/3766/3763/1804/3748/3777/3779/57628/482/857/3760/3785/9472/56660/3786/407033/57030/358/3739/3741/287/81033/478/3780/150160/406994/288/90134/4986/9312/3765/126755/57463/3759/6548/23327/84679/6507/407024/3782/84561/3767/57419/3757/30820/27133/3745/7531/53828/3761/30819/3756/23630/3752/9722/477/123041/3751/348980/7881/283518/481/3755/389015/284525/65266/6844/3781/9187/6616/27012/6549/3772/3787/80333"
"GO:0016441","GO:0016441","post-transcriptional gene silencing",466,-0.420467165461279,-1.77386491576796,7.27253123128754e-10,2.41754248720064e-07,2.08626962413335e-07,5485,"tags=31%, list=16%, signal=26%","406976/768220/100874323/406941/400931/406925/407030/100302122/442915/407017/407025/406890/693178/100302209/768213/106614088/693139/100500845/664613/574451/693233/100126345/100313892/100616258/693235/406912/407012/407056/574508/406958/574501/406907/54456/406938/407002/100616134/406948/100126351/406997/406953/442897/7538/406908/406885/100422842/100126343/407008/407026/107075116/407011/406949/693143/406987/100126296/494327/407053/693135/100126335/406971/406922/574034/100126309/100500895/693131/574434/406913/100302135/693229/85441/728264/100616354/406911/406947/406882/693130/693175/574449/494330/407010/406889/442910/407043/693193/693227/442898/724024/407013/55384/406937/100422913/100616403/574448/693159/693223/693132/407003/100616335/406935/3569/574412/100126314/100302146/406943/442901/100302214/442904/574502/406932/79727/407039/406920/407018/407006/114614/100500826/406914/100126331/693120/574445/407023/406993/693157/619556/724025/724031/100313843/693216/406992/283131/693201/724032/406946/724022/494336/406961/574447/406942/284454/442900/574506/100616438/100302263/693197/100302174"
"GO:0035194","GO:0035194","regulatory ncRNA-mediated post-transcriptional gene silencing",460,-0.424382434078683,-1.78816908994809,8.79829498943798e-10,2.77850155766451e-07,2.39776691870052e-07,5485,"tags=31%, list=16%, signal=27%","406976/768220/100874323/406941/400931/406925/407030/100302122/442915/407017/407025/406890/693178/100302209/768213/106614088/693139/100500845/664613/574451/693233/100126345/100313892/100616258/693235/406912/407012/407056/574508/406958/574501/406907/54456/406938/407002/100616134/406948/100126351/406997/406953/442897/7538/406908/406885/100422842/100126343/407008/407026/107075116/407011/406949/693143/406987/100126296/494327/407053/693135/100126335/406971/406922/574034/100126309/100500895/693131/574434/406913/100302135/693229/85441/728264/100616354/406911/406947/406882/693130/693175/574449/494330/407010/406889/442910/407043/693193/693227/442898/724024/407013/55384/406937/100422913/100616403/574448/693159/693223/693132/407003/100616335/406935/3569/574412/100126314/100302146/406943/442901/100302214/442904/574502/406932/79727/407039/406920/407018/407006/114614/100500826/406914/100126331/693120/574445/407023/406993/693157/619556/724025/724031/100313843/693216/406992/283131/693201/724032/406946/724022/494336/406961/574447/406942/284454/442900/574506/100616438/100302263/693197/100302174"
"GO:0099504","GO:0099504","synaptic vesicle cycle",220,0.458921870658678,2.01832730771192,1.99910386431881e-09,5.98871433455656e-07,5.16808820111561e-07,10032,"tags=49%, list=29%, signal=35%","22987/3351/5582/57084/127833/8224/6853/10815/5864/112755/6623/27445/22895/9066/8927/6854/9900/6860/534/54413/5030/9143/6861/57586/57030/7879/396/9498/23208/23025/9892/6812/5865/84251/26052/527/5575/84961/9581/8867/10814/163/8618/440279/6456/57555/23396/488/5028/9829/29993/246213/22999/5413/7054/528/5874/9805/5532/9378/9783/5579/9501/51382/4638/91683/785/134957/6844/6457/1020/1759/143425/6616/22871/9885/6620/9342/8851/8573/7476/28964/523/200933/9751/164/5289/1000/535/8120/84162/85439/1861/140730/6857/6453/161/26059/673/4983/9815/11037/154664/9373/284697/10239/6855"
"GO:0003012","GO:0003012","muscle system process",458,0.367473682066752,1.72898777487523,2.08599929322743e-09,5.98871433455656e-07,5.16808820111561e-07,6316,"tags=28%, list=18%, signal=24%","4632/4620/4633/3952/4619/100507537/58/8048/7138/29895/389827/493829/4626/6323/10398/4625/23676/7136/2741/93649/3352/6334/5566/2257/6338/3736/8557/59/10021/4762/6330/1813/7135/859/442721/6327/497189/2931/55800/3479/2775/2702/5021/6262/857/3760/6335/9472/4654/23125/6326/4624/1837/6324/1129/1113/7373/6769/3741/58529/29119/5062/7140/287/28954/493/10052/140947/23336/2660/4622/9312/487/51778/6865/10911/323/6547/80763/1605/255743/147/407034/3759/4205/801/6548/23327/4656/23493/90523/782/154/4653/488/781/25802/3757/30820/5028/29767/8735/30819/1674/6546/23630/808/3752/1907/2627/406982/6869/9722/477/9127/8470/6870/3751/5910/1812/3728/1410/30845/1829/5592/5350/1909/1141/309/8913"
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis",76,0.636641868150935,2.41243471318414,3.00212878937227e-09,6.79402503633752e-07,5.86304817142024e-07,997,"tags=12%, list=3%, signal=12%","4508/4535/4509/4538/4539/4536/4537/4541/4540"
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential",150,0.515176843971207,2.17931630232653,3.01191736886401e-09,6.79402503633752e-07,5.86304817142024e-07,8144,"tags=53%, list=23%, signal=41%","1142/401190/3737/2902/8973/112755/2904/2903/2741/2557/3736/124925/1813/285242/2556/2931/54413/3359/1137/2554/50944/2897/2566/23542/2560/2561/2894/2550/2555/57528/2899/2905/23316/57502/2932/2558/5649/2895/5575/2893/2743/2892/6547/2742/57555/2570/8001/154/1135/2915/4923/116443/23613/2565/22999/9127/2898/3751/388135/348980/81832/869/2890/1141/9378/4355/4204/56853/1138/1020/6543/22871/642938/1139/3060/7476/2891/153/18/84866"
"GO:0007269","GO:0007269","neurotransmitter secretion",147,0.515532487599144,2.16973176085849,2.96366961443142e-09,6.79402503633752e-07,5.86304817142024e-07,8170,"tags=46%, list=24%, signal=36%","22987/3351/5582/127833/8224/6853/10815/5864/112755/6623/27445/22895/9066/6854/9900/6860/2914/5030/9143/6861/41/57586/57512/8825/11255/9498/23208/23025/6812/84961/9581/8867/6865/10814/8618/440279/23396/488/7779/5028/5799/22999/5413/815/9378/9783/5579/9501/9379/91683/785/4763/134957/6844/1020/143425/6616/22871/9885/9342/8573/3060/51248/7476/28964/200933/9751/2852"
"GO:0099643","GO:0099643","signal release from synapse",147,0.515532487599144,2.16973176085849,2.96366961443142e-09,6.79402503633752e-07,5.86304817142024e-07,8170,"tags=46%, list=24%, signal=36%","22987/3351/5582/127833/8224/6853/10815/5864/112755/6623/27445/22895/9066/6854/9900/6860/2914/5030/9143/6861/41/57586/57512/8825/11255/9498/23208/23025/6812/84961/9581/8867/6865/10814/8618/440279/23396/488/7779/5028/5799/22999/5413/815/9378/9783/5579/9501/9379/91683/785/4763/134957/6844/1020/143425/6616/22871/9885/9342/8573/3060/51248/7476/28964/200933/9751/2852"
"GO:0007411","GO:0007411","axon guidance",235,0.44610285486568,1.98429702589165,2.79745811834392e-09,6.79402503633752e-07,5.86304817142024e-07,8014,"tags=44%, list=23%, signal=34%","10716/5458/3798/6469/1826/3897/285220/10381/644168/1949/4858/5979/374946/8941/6092/2636/5080/56896/7474/137970/57556/90249/2047/9723/2297/627/1630/2596/7143/3800/26999/6654/2043/6324/5818/2044/5794/3975/23767/2045/4897/5649/80031/8633/4684/5800/659/23114/1944/4781/2046/323/1605/3670/6900/10752/3730/223117/55740/9638/2042/170302/5588/9252/57715/4693/23768/2737/5727/2048/9037/9369/1123/89884/10371/152330/55605/347733/56956/8609/7976/84665/658/1909/9378/2115/682/23022/56134/1020/11023/27255/2909/133418/8851/5879/91584/2051/4147/4804/4009/1272/4756"
"GO:0021537","GO:0021537","telencephalon development",276,0.423975772303941,1.9145382033228,2.5633341728112e-09,6.79402503633752e-07,5.86304817142024e-07,8636,"tags=39%, list=25%, signal=30%","10716/4747/6469/3737/4142/429/3736/26468/5992/6299/3746/1813/23236/374946/8941/1600/6092/63974/5080/5629/8320/7474/196500/5454/5021/482/26047/79969/4915/221692/6326/7143/5455/358/56978/26050/5079/2044/552/3975/493/2932/7280/1956/5649/57178/4781/7545/89927/7846/238/6900/306/9638/170302/3400/54820/7531/2737/5048/6715/166614/63950/2048/477/10579/10718/7054/10371/347733/3361/1812/2890/79633/7248/4967/6496/8648/4204/22809/84687/6331/4763/1020/57142/220/55636/100996763/2018/1746/582/1767/3362/8851/6506/91584/4009/2523/200933/84709/9215/83696/6091/51199/471/3624/388585/65078/1000"
"GO:0035418","GO:0035418","protein localization to synapse",88,0.601777647957497,2.32926298438785,3.50551867272604e-09,7.63477790928885e-07,6.58859371592574e-07,8852,"tags=56%, list=25%, signal=42%","3798/375567/4130/10368/10815/112755/10369/2903/27445/8927/165257/7474/59284/57554/50944/4137/10439/27065/3800/22865/2905/5649/23136/1605/9912/7189/347730/57555/23426/4884/23096/5874/81832/9378/4868/9379/1740/1020/22883/22871/55737/7476/10082/27067/11337/6780/158866/3315/23162"
"GO:0019646","GO:0019646","aerobic electron transport chain",89,0.599020960318495,2.33449938197605,4.95956103547588e-09,1.00005919365262e-06,8.63022316711658e-07,997,"tags=12%, list=3%, signal=12%","4535/4538/4539/4536/4514/4519/4537/4541/4513/4512/4540"
"GO:0006754","GO:0006754","ATP biosynthetic process",99,0.570556165062614,2.257404974972,5.06679768791703e-09,1.00005919365262e-06,8.63022316711658e-07,997,"tags=10%, list=3%, signal=10%","4508/4535/4509/3948/4538/4539/4536/4537/4541/4540"
"GO:0007611","GO:0007611","learning or memory",279,0.42636945065102,1.9184488602867,4.91653196895588e-09,1.00005919365262e-06,8.63022316711658e-07,7241,"tags=42%, list=21%, signal=33%","10716/5582/4130/2902/2904/25769/84630/11202/2903/1996/266977/6356/4762/1813/23236/431707/57144/497189/6860/729956/25946/54413/5080/114/196500/5021/64084/1816/50944/139411/26047/65009/4137/100132074/4915/41/4297/23542/6326/7143/23385/23208/23316/57502/2033/80863/140947/1956/2558/5649/5575/4986/8867/6865/56924/4311/6532/814/6547/7846/84502/6900/4761/143941/2915/5923/2334/84152/4923/6285/55902/577/29767/8554/590/85461/10882/8831/5048/2048/2925/1524/6869/477/22849/9369/7054/8516/22941/1812/81832/27087/2890/5803/7248/5350/1141/80823/5532/9378/7122/9379/4204/1979/55450/23394/84687/1620/4763/1385/1020/8326/3269/6616/338811/6543"
"GO:0008344","GO:0008344","adult locomotory behavior",82,0.608643839624138,2.33888197673732,5.40570636567641e-09,1.01186946917238e-06,8.73214244754269e-07,7093,"tags=49%, list=20%, signal=39%","58524/3235/6323/6623/7345/2741/51286/2257/1949/124925/1813/84189/1600/3766/2636/2043/4985/2743/7200/7545/7846/6900/10752/57555/5090/4923/5048/80243/477/22941/1812/7248/1476/4204/28996/785/22876/55636/57626/55074"
"GO:0030900","GO:0030900","forebrain development",404,0.378731573384267,1.76117467696518,5.44704907407549e-09,1.01186946917238e-06,8.73214244754269e-07,8636,"tags=37%, list=25%, signal=28%","10716/5457/3747/4747/10215/6469/3737/4142/1996/429/3736/26468/5992/6299/3746/4762/1813/23236/374946/431707/6887/8941/1600/5449/5101/2692/6092/63974/5080/5629/8320/7474/6753/196500/5454/5021/482/139411/26047/9723/79969/4915/221692/6326/6657/7143/5455/9760/358/56978/1638/26050/5079/2044/552/5453/3975/493/6658/2932/10818/7280/1956/5649/7026/57178/4781/7545/89927/3670/7846/238/6900/9001/306/9638/170302/3400/54820/6491/7531/2737/5048/6715/166614/25942/63950/79625/2048/9037/477/10579/10718/7054/10371/9201/347733/3361/1812/333/2890/79633/7248/5592/1141/4967/6496/8648/4204/22809/84687/6331/4763/1385/6752/1020/57142/220/55636/30062/546/100996763/2018/1746/582/1767/3362/2909/7305/6656/8851/6506/4808/91584/54149/7476/4009/2523/200933/84709/5122/9215/83696/6091/51199/471/3624/6714/388585/65078/1000"
"GO:0097485","GO:0097485","neuron projection guidance",236,0.443454017126457,1.97339684135752,6.25594833569212e-09,1.1289305625209e-06,9.74234600968835e-07,8014,"tags=44%, list=23%, signal=34%","10716/5458/3798/6469/1826/3897/285220/10381/644168/1949/4858/5979/374946/8941/6092/2636/5080/56896/7474/137970/57556/90249/2047/9723/2297/627/1630/2596/7143/3800/26999/6654/2043/6324/5818/2044/5794/3975/23767/2045/4897/5649/80031/8633/4684/5800/659/23114/1944/4781/2046/323/1605/3670/6900/10752/3730/223117/55740/9638/2042/170302/5588/9252/57715/4693/23768/2737/5727/2048/9037/9369/1123/89884/10371/152330/55605/347733/56956/8609/7976/84665/658/1909/9378/2115/682/23022/56134/1020/11023/27255/2909/133418/8851/5879/91584/2051/4147/4804/4009/1272/4756"
